name,country,position,age,overall,potential,value,starter_pool
Ayyoub Bouaddi,France,MID,18,78,86,18000000,False
Raphael Onyedika,Nigeria,MID,24,78,84,15000000,False
Javi Guerra,Spain,MID,22,79,87,28000000,False
Lucas Gourna-Douath,France,MID,22,78,84,16000000,False
Arthur Vermeeren,Belgium,MID,21,79,88,30000000,False
Oscar Gloukh,Israel,MID,22,79,88,26000000,False
Assan Ouedraogo,Germany,MID,19,78,88,20000000,False
Archie Gray,England,MID,20,79,87,30000000,False
Carlos Baleba,Cameroon,MID,22,82,89,45000000,False
Kobbie Mainoo,England,MID,21,81,88,40000000,False
Adam Wharton,England,MID,22,78,86,22000000,False
Tyler Adams,USA,MID,27,78,80,14000000,False
Youssouf Fofana,France,MID,27,80,82,22000000,False
Manu Kone,France,MID,25,81,87,32000000,False
Morten Hjulmand,Denmark,MID,27,82,86,38000000,False
Martin Baturina,Croatia,MID,23,78,87,21000000,False
Lovro Majer,Croatia,MID,28,80,82,19000000,False
Lazar Samardzic,Serbia,MID,24,79,86,22000000,False
Tommaso Baldanzi,Italy,MID,23,78,87,20000000,False
Cesare Casadei,Italy,MID,23,78,85,17000000,False
Khephren Thuram,France,MID,25,80,85,26000000,False
Habib Diarra,Senegal,MID,22,79,87,24000000,False
Andy Diouf,France,MID,22,78,85,18000000,False
Dani de Wit,Netherlands,MID,28,78,79,10000000,False
Enzo Le Fee,France,MID,26,78,82,13000000,False
Ismael Kone,Canada,MID,24,78,84,15000000,False
Reda Belahyane,Morocco,MID,21,78,86,18000000,False
Bilal El Khannouss,Morocco,MID,22,80,88,28000000,False
Eliesse Ben Seghir,Morocco,MID,21,80,89,30000000,False
Maghnes Akliouche,France,MID,24,80,88,30000000,False
Rayan Cherki,France,MID,22,81,88,32000000,False
Désiré Doué,France,MID,21,82,91,50000000,False
Warren Zaire-Emery,France,MID,20,85,93,75000000,False
João Neves,Portugal,MID,21,84,92,70000000,False
Vitinha,Portugal,MID,26,86,89,65000000,False
Fermin Lopez,Spain,MID,23,80,87,30000000,False
Pablo Torre,Spain,MID,23,78,85,16000000,False
Aleix Garcia,Spain,MID,29,79,81,12000000,False
Mikel Merino,Spain,MID,30,82,83,22000000,False
Martin Zubimendi,Spain,MID,27,84,88,50000000,False
Mikel Jauregizar,Spain,MID,22,78,85,15000000,False
Unai Gomez,Spain,MID,23,78,84,14000000,False
Beñat Prados,Spain,MID,25,78,83,12000000,False
Kang-in Lee,South Korea,MID,25,82,87,32000000,False
Hugo Larsson,Sweden,MID,22,79,88,25000000,False
Lucas Bergvall,Sweden,MID,20,79,89,27000000,False
Yasin Ayari,Sweden,MID,23,78,85,15000000,False
Hakon Arnar Haraldsson,Iceland,MID,23,78,84,15000000,False
Sverre Nypan,Norway,MID,19,78,90,20000000,False
Antonio Nusa,Norway,ATT,21,80,89,30000000,False
Oscar Bobb,Norway,ATT,23,78,86,18000000,False
Johan Bakayoko,Belgium,ATT,23,81,88,32000000,False
Samuel Iling-Junior,England,ATT,22,78,84,14000000,False
Johan Manzambi,Switzerland,MID,20,78,87,14000000,False
Fabio Miretti,Italy,MID,23,78,85,15000000,False
Nicolò Fagioli,Italy,MID,25,80,84,20000000,False
Samuele Ricci,Italy,MID,25,81,87,30000000,False
Nicolò Rovella,Italy,MID,24,80,85,24000000,False
Davide Frattesi,Italy,MID,26,82,85,30000000,False
Andrea Colpani,Italy,MID,27,78,81,12000000,False
Matteo Pessina,Italy,MID,29,78,79,9000000,False
Kacper Kozlowski,Poland,MID,22,78,85,13000000,False
Sebastian Szymanski,Poland,MID,27,80,82,18000000,False
Jakub Moder,Poland,MID,27,78,80,11000000,False
Nicola Zalewski,Poland,MID,24,78,83,15000000,False
Jakub Kaminski,Poland,ATT,24,78,84,16000000,False
Mateusz Bogusz,Poland,MID,24,78,84,13000000,False
Szymon Zurkowski,Poland,MID,29,78,79,8000000,False
Patryk Peda,Poland,DEF,23,78,84,12000000,False
Mats Wieffer,Netherlands,MID,26,81,85,28000000,False
Quinten Timber,Netherlands,MID,25,81,86,30000000,False
Kenneth Taylor,Netherlands,MID,24,79,84,18000000,False
Ryan Gravenberch,Netherlands,MID,24,82,88,35000000,False
Jerdy Schouten,Netherlands,MID,29,80,81,14000000,False
Teun Koopmeiners,Netherlands,MID,28,82,84,26000000,False
Joey Veerman,Netherlands,MID,27,80,83,18000000,False
Milos Kerkez,Hungary,DEF,22,82,88,38000000,False
Marton Dardai,Hungary,DEF,24,78,84,12000000,False
Attila Szalai,Hungary,DEF,28,78,79,9000000,False
Dominik Szoboszlai,Hungary,MID,25,84,88,50000000,False
Andras Schafer,Hungary,MID,27,78,81,10000000,False
Bence Dardai,Hungary,MID,20,78,86,12000000,False
Krisztian Lisztes,Hungary,MID,21,78,86,12000000,False
Martin Vitik,Czech Republic,DEF,23,79,86,18000000,False
Adam Hlozek,Czech Republic,ATT,23,79,85,18000000,False
Pavel Sulc,Czech Republic,MID,25,78,83,12000000,False
Lukas Provod,Czech Republic,MID,29,78,80,9000000,False
David Jurasek,Czech Republic,DEF,26,78,82,10000000,False
Tomas Soucek,Czech Republic,MID,31,80,80,10000000,False
Ladislav Krejci,Czech Republic,DEF,27,81,85,18000000,False
Adam Karabec,Czech Republic,MID,23,78,85,12000000,False
Vladimir Coufal,Czech Republic,DEF,34,78,78,7000000,False
David Zima,Czech Republic,DEF,25,78,82,10000000,False
Jorrel Hato,Netherlands,DEF,20,80,90,32000000,False
Dean Huijsen,Spain,DEF,21,81,89,40000000,False
Giorgio Scalvini,Italy,DEF,22,80,89,35000000,False
Koni De Winter,Belgium,DEF,24,78,85,17000000,False
Zeno Debast,Belgium,DEF,22,79,87,22000000,False
Arthur Theate,Belgium,DEF,26,80,84,20000000,False
Wout Faes,Belgium,DEF,28,78,80,9000000,False
